epoch,0_jacc,0_val_jacc,10_jacc,10_val_jacc,1_jacc,1_val_jacc,2_jacc,2_val_jacc,3_jacc,3_val_jacc,4_jacc,4_val_jacc,5_jacc,5_val_jacc,6_jacc,6_val_jacc,7_jacc,7_val_jacc,8_jacc,8_val_jacc,9_jacc,9_val_jacc,I0,I1,I10,I2,I3,I4,I5,I6,I7,I8,I9,U0,U1,U10,U2,U3,U4,U5,U6,U7,U8,U9,acc,jaccard,loss,val_I0,val_I1,val_I10,val_I2,val_I3,val_I4,val_I5,val_I6,val_I7,val_I8,val_I9,val_U0,val_U1,val_U10,val_U2,val_U3,val_U4,val_U5,val_U6,val_U7,val_U8,val_U9,val_acc,val_jaccard,val_loss
0,0.1620614832153294,0.092300587742792498,0.0035070122182499501,0.0,0.088514852919118633,0.041815522558228735,0.0055203624097099144,0.0,0.17644605389115486,0.16355985934675005,0.0078324358403421921,0.0,0.035584784984064269,0.00075961924144992592,0.0052885511445466713,0.0,0.0044343633470299024,0.0,0.011691331534244495,3.5096992293051458e-06,0.0059383287728070611,0.0,21574.983870967742,6637.3252688172042,15.658602150537634,32.06989247311828,21772.134408602149,91.438172043010752,1313.8790322580646,33.561827956989248,25.094086021505376,225.09408602150538,40.551075268817208,133128.38709677418,74985.440860215051,4464.9408602150534,5809.3817204301076,123392.58333333333,11674.29569892473,36922.494623655912,6346.1290322580644,5659.0053763440865,19253.075268817203,6828.7016129032254,0.21568445080230314,0.046074505479690678,2.0705800902458931,84857.693693693698,15319.342342342343,0.0,0.0,99132.135135135133,0.0,158.22522522522522,0.0,0.0,0.090090090090090086,0.0,919362.44144144142,366355.39639639639,27459.306306306305,6947.7837837837842,606090.85585585586,112498.0990990991,208295.44144144145,11032.279279279279,38194.666666666664,25668.891891891893,8119.2972972972975,0.15774410627446733,0.027130827144404589,2.0104728496826447
1,0.24592533750395423,0.22215589853945367,3.2636223597295109e-05,0.0,0.038249086073511421,0.059167814518561179,9.4748561006229717e-06,0.00011606298867354191,0.28026649313850688,0.35231518635182352,0.00019813076457421929,0.00024023006740516939,0.0051493744148438164,0.032303537395512276,2.7186740779369717e-05,0.0001954738040668325,2.6653695201668524e-05,3.7734442914627238e-05,0.0017262194716681431,0.00126519594609596,8.8167353392385868e-05,0.0,36690.87634408602,2236.5456989247314,0.026881720430107527,0.026881720430107527,37693.927419354841,1.846774193548387,123.9274193548387,0.088709677419354843,0.053763440860215055,27.577956989247312,0.16129032258064516,149195.18548387097,58473.180107526881,823.67741935483866,2837.1639784946237,134493.16397849462,9320.9865591397847,24066.5,3262.9758064516127,2017.1102150537633,15975.927419354839,1829.3655913978494,0.32100403156652246,0.051972614566920906,1.6800008034834297,102193.77477477478,23696.324324324323,0.0,0.81081081081081086,283178.0,27.216216216216218,6977.1531531531527,2.1621621621621623,1.4414414414414414,35.423423423423422,0.0,460009.27927927929,400493.48648648651,27459.576576576575,6985.9549549549547,803763.25225225231,113292.29729729729,215987.27927927929,11061.135135135135,38199.62162162162,27998.369369369368,8129.3873873873872,0.32916473134143931,0.060708830368591531,1.7934126596193056
2,0.57858675264867387,0.39028613706988902,0.00014761019100758717,0.0,0.21195049052710044,0.26779791927044633,0.00073901443128310078,0.0,0.59865879587639959,0.64085654817825322,0.0082421039715840517,0.0013033313974837851,0.096456742626987321,0.14019169636965648,0.0023916960313790517,0.00053155938417281923,0.0034491057908970137,0.0011394726686987553,0.028153187770881528,0.020359574584354452,0.0014188602834827888,0.0,45898.182795698922,14100.446236559139,0.10752688172043011,2.0833333333333335,74503.349462365586,84.508064516129039,3131.4865591397847,8.064516129032258,9.78494623655914,484.99731182795699,2.6370967741935485,79328.091397849465,66527.075268817207,728.45161290322585,2819.0698924731182,124450.43817204301,10253.215053763441,32465.190860215054,3371.8817204301076,2836.9516129032259,17227.083333333332,1858.6021505376343,0.57628246540984795,0.13910857819542513,1.2659524626308871,117177.33333333333,132922.79279279278,0.0,0.0,367863.31531531533,144.72072072072072,36748.054054054053,6.1261261261261257,47.351351351351354,567.24324324324323,0.0,300234.42342342343,496354.83783783781,30886.693693693695,7288.2432432432433,574018.18918918923,111039.08108108108,262127.18018018018,11524.819819819821,41555.495495495496,27861.252252252252,8101.5495495495497,0.51874602082613352,0.13295147626572318,1.4291915678763174
3,0.77387155100469418,0.45279834678854924,0.00063028502510919268,8.0263436948285334e-05,0.38270812729317205,0.32167257993050208,0.00014309495304100624,0.0,0.78601195069727625,0.69700438150412924,0.022985707755154804,0.0088302724635383207,0.11884129180852884,0.10014141789577891,0.00078378534242768989,0.0,0.0022574664502060539,0.00018341648978438934,0.074835072872249858,0.077554376076108059,0.0025638704556057686,0.00020717782368575267,43654.766129032258,31591.948924731183,0.49731182795698925,0.40322580645161288,79962.599462365586,237.08064516129033,4523.9704301075271,2.411290322580645,5.053763440860215,1388.2258064516129,4.948924731182796,56410.868279569891,82548.413978494616,789.02688172043008,2817.8897849462364,101732.04032258065,10314.263440860215,38067.327956989247,3076.4677419354839,2238.6881720430106,18550.470430107525,1930.255376344086,0.67242048568623036,0.19687565487795136,0.97538514499382312,118956.17117117117,174836.39639639639,2.3423423423423424,0.0,370020.13513513515,999.43243243243239,25243.666666666668,0.0,7.2072072072072073,2650.6576576576576,1.8918918918918919,262713.35135135136,543522.84684684686,29183.180180180181,7012.7387387387389,530872.03603603609,113182.51351351352,252080.18018018018,11191.126126126126,39294.216216216213,34178.054054054053,9131.72972972973,0.54833619068334771,0.15077020294627497,1.2445646792918712
4,0.82396872116595021,0.84942340613301359,0.00029862006098135981,0.0001277593714366366,0.43332261808820521,0.43492542253053651,5.2524153231863681e-06,0.0,0.82705958336782126,0.76700950076697938,0.02432776186645948,0.032041613915766681,0.10106095551997019,0.16199539827567561,5.0844527603494032e-05,0.0,0.00041454769798005535,0.0,0.1809645788437588,0.077762845978520151,0.0011318056942040149,5.7063565959300366e-05,44532.747311827959,36269.013440860217,0.2553763440860215,0.013440860215053764,79480.174731182793,229.11559139784947,3494.6424731182797,0.13440860215053763,0.91397849462365588,4196.239247311828,1.868279569892473,54046.647849462366,83699.793010752692,855.18817204301081,2558.9865591397847,96099.696236559146,9417.8655913978491,34579.551075268821,2643.5215053763441,2204.760752688172,23188.180107526881,1650.7069892473119,0.70246674921563879,0.21750957174984159,0.85089671948263723,114338.25225225225,254874.90990990991,3.6126126126126126,0.0,344364.91891891893,3732.7207207207207,44094.063063063062,0.0,0.0,7916.5855855855852,0.54054054054054057,134606.90090090089,586019.80180180178,28276.693693693695,7585.3513513513517,448970.86486486485,116496.02702702703,272193.30630630633,12783.720720720721,39428.747747747744,101804.21621621621,9472.6036036036039,0.60894308111689111,0.21121300095798981,1.0726670681893289
5,0.84150888903618226,0.83335310248295191,3.205333675235592e-05,0.0,0.48422361636904876,0.48354839872694505,0.0,0.0,0.85316512644085363,0.74592340574402005,0.032030899002605799,0.04089025234466627,0.094313628621771131,0.017270339533180912,3.0376037992612547e-05,0.0,0.00057355312788885215,0.0,0.25058570962934307,0.13927326605174459,0.0005453611295290089,0.0,45084.067204301078,40504.575268817207,0.026881720430107527,0.0,80199.086021505384,306.64247311827955,2717.3467741935483,0.094086021505376344,1.14247311827957,6206.1612903225805,1.021505376344086,53575.271505376346,83648.491935483864,838.6559139784946,2843.8494623655915,94001.833333333328,9573.3333333333339,28811.814516129034,3097.3763440860216,1991.9220430107528,24766.620967741936,1873.0806451612902,0.72916757435567914,0.2324553829756334,0.78442305582825855,117411.53153153154,294458.91891891893,0.0,0.0,356742.29729729728,4821.7207207207211,3746.6666666666665,0.0,0.0,11304.468468468469,0.0,140890.4954954955,608954.38738738734,27994.891891891893,7911.2972972972975,478255.93693693692,117918.58558558559,216942.27027027027,11864.711711711712,38886.91891891892,81167.540540540547,8569.936936936936,0.62363781531651818,0.20547806953486444,1.0351209318315662
6,0.85654984948760049,0.62238473176079745,6.502479070145492e-05,0.0028186464501976276,0.50459177579615444,0.41730207681965348,1.0005873447713807e-05,0.00010808590667862818,0.8642028415872226,0.73134458049102324,0.040028577703948069,0.10491676262959582,0.12623701639482482,0.43149132615047636,7.1539014039769964e-05,0.00069782378667669251,0.00036721285443483957,0.0,0.27812699957102838,0.17357903390915352,0.00069423850606730169,0.0013482411292103339,46026.620967741932,41633.370967741932,0.053763440860215055,0.026881720430107527,79230.755376344081,391.44086021505376,3767.1935483870966,0.20161290322580644,0.9946236559139785,6551.5483870967746,1.0887096774193548,53734.900537634407,82509.016129032258,826.81451612903231,2686.5940860215055,91680.739247311823,9779.0349462365593,29842.225806451614,2818.2231182795699,2708.5752688172042,23555.959677419356,1568.2069892473119,0.74075956642627716,0.24281318923449724,0.74410119444452305,117971.95495495496,181609.06306306308,78.78378378378379,0.81081081081081086,357365.17117117118,12882.450450450451,135631.53153153154,8.8288288288288292,0.0,11250.837837837838,11.441441441441441,189548.27927927929,435198.08108108107,27950.927927927929,7501.5405405405409,488641.30630630633,122787.34234234234,314332.0,12651.945945945947,38780.16216216216,64816.801801801805,8486.198198198199,0.64666610311817474,0.22599920991213304,1.0080902270368628
7,0.85822790976178065,0.77177878234605135,0.00031332604138182483,0.0014037037423354961,0.51513337298187567,0.56524132658256809,1.5410679189727036e-05,2.5198882177586601e-05,0.86429610124229117,0.76825562487033328,0.071112096856219414,0.15174660050571417,0.23054737862952429,0.54369158544450147,0.00027780702062205374,0.00010131712259371833,0.00047438853524265533,0.0,0.323944816257144,0.16276572681245449,0.00093067176341869783,0.0012548017255105408,45845.932795698922,39829.672043010753,0.29569892473118281,0.040322580645161289,78707.352150537641,697.27150537634407,7069.1397849462364,0.7661290322580645,1.1559139784946237,8638.6747311827949,1.653225806451613,53419.298387096773,77319.145161290318,943.74193548387098,2616.5349462365593,91065.263440860217,9805.2446236559135,30662.416666666668,2757.7741935483873,2436.6397849462364,26667.118279569891,1776.3790322580646,0.75332713575773347,0.26047938906988088,0.71654831898468796,116830.73873873874,231677.03603603604,40.009009009009006,0.18018018018018017,355123.77477477479,18549.900900900902,173690.65765765766,1.1711711711711712,0.0,10172.693693693695,10.72072072072072,151378.53153153154,409872.78378378379,28502.45945945946,7150.3243243243242,462246.89189189189,122242.61261261262,319465.41441441444,11559.45945945946,38265.009009009009,62498.990990990991,8543.7567567567567,0.71702034677471127,0.26966042436674909,0.8871905637216998
8,0.85484806915119571,0.76942448714967315,0.00025154312029565995,0.0,0.54938430003616112,0.50524209099628559,2.5261864487275091e-05,0.0,0.87435691637448187,0.76206698043631915,0.10237913772205789,0.18972304643514504,0.32640046301956688,0.30498729224878102,0.00026689085498485395,0.0,0.002873329395142499,0.0,0.35024302284962627,0.14516427323081474,0.0011861716200723168,0.0,43212.284946236556,40252.454301075268,0.17473118279569894,0.067204301075268813,80225.12634408602,983.62903225806451,10405.806451612903,0.86021505376344087,7.309139784946237,9589.75,2.1693548387096775,50549.666666666664,73268.301075268813,694.63709677419354,2660.3064516129034,91753.293010752692,9607.7096774193542,31880.489247311827,3223.0967741935483,2543.7876344086021,27380.274193548386,1828.8709677419354,0.76896235971681537,0.27838319145527934,0.69486277830857102,116935.14414414414,261688.27027027027,0.0,0.0,356789.44144144142,23076.873873873872,67440.279279279275,0.0,0.0,16122.783783783783,0.0,151977.41441441441,517946.29729729728,27812.18918918919,7173.0090090090089,468186.45945945947,121634.53153153154,221124.88288288287,11189.126126126126,38267.369369369371,111065.78378378379,8326.7747747747744,0.66628848325024859,0.24332801549972902,0.88665825719231961
9,0.87641110697977087,0.82035777904270235,0.00069855573601578728,0.00013586549455388392,0.58049604567162805,0.59564194760442923,0.00010004041632819659,1.3576368430055909e-05,0.88102497370161659,0.78307692294162567,0.13882983141383057,0.25038687433422235,0.43210010850534092,0.48694060327191013,0.00034321878550819344,0.0,0.0077046690079273991,0.00010962954767753825,0.40601546002087086,0.18563344767936202,0.0017036514393443836,0.0,46368.588709677417,38484.333333333336,0.64516129032258063,0.26881720430107525,77932.852150537641,1383.9139784946237,14745.190860215054,1.064516129032258,21.201612903225808,10626.341397849463,2.849462365591398,52907.349462365593,66295.599462365586,923.56451612903231,2687.0860215053763,88457.029569892475,9968.4193548387102,34124.478494623654,3101.5672043010754,2751.7876344086021,26172.258064516129,1672.5618279569892,0.79213460238390077,0.30231160560710735,0.64934682076977146,115720.39215686274,273572.64705882355,3.8235294117647061,0.098039215686274508,349189.78431372548,30459.862745098038,116897.90196078431,0.0,4.2745098039215685,18001.039215686276,0.0,141060.88235294117,459290.43137254904,28142.019607843136,7221.3137254901958,445920.15686274512,121651.19607843137,240066.03921568627,11429.588235294117,38990.490196078434,96970.882352941175,8325.3333333333339,0.72198703008539533,0.28384514966226487,0.7890193082538306
